date,home_team,away_team,team_goals,player_team,own_goal,minute,player,assist1,assist2,OTgoal,ETgoal
"5/16/98","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",21,"Jerzy Podbrozny","Peter Nowak","",0,0
"4/3/99","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",2,"Ante Razov","Diego Gutií©rrez","Peter Nowak",0,0
"8/30/03","New England Revolution","Chicago Fire","New England Revolution","New England Revolution","FALSE",66,"Chris Brown","","",0,0
"5/3/08","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",50,"John Thorrington","Chris Rolfe","Chad Barrett",0,0
"8/23/09","Chicago Fire","Colorado Rapids","Colorado Rapids","Colorado Rapids","FALSE",58,"Omar Cummings","Jamie Smith","",0,0
"10/3/99","Miami Fusion","Columbus Crew","Miami Fusion","Miami Fusion","FALSE",90,"Edwin Gorter","","",0,0
"6/2/01","FC Dallas","Miami Fusion","Miami Fusion","Miami Fusion","FALSE",34,"Alex Pineda Chacon","Preki","Diego Serna",0,0
"4/3/04","LA Galaxy","New England Revolution","New England Revolution","New England Revolution","FALSE",48,"Jay Heaps","","",0,0
"8/23/97","FC Dallas","New York Red Bulls","New York Red Bulls","FC Dallas","TRUE",60,"Joey Martinez","","",0,0
"6/23/13","Philadelphia Union","New York Red Bulls","Philadelphia Union","Philadelphia Union","FALSE",7,"Conor Casey","Sheanon Williams","",0,0
"8/16/06","Columbus Crew","Real Salt Lake","Columbus Crew","Columbus Crew","FALSE",23,"Sebastian Rozental","","",0,0
"6/21/97","Tampa Bay Mutiny","San Jose Earthquakes","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",8,"Carlos Valderrama","Adam Frye","Steve Ralston",0,0
"4/10/10","Real Salt Lake","Seattle Sounders","Seattle Sounders","Seattle Sounders","FALSE",11,"Steve Zakuani","James Riley","",0,0
"5/9/12","FC Dallas","Seattle Sounders","Seattle Sounders","Seattle Sounders","FALSE",68,"Fredy Montero","Cordell Cato","",0,0
"6/24/98","Chicago Fire","Sporting Kansas City","Chicago Fire","Chicago Fire","FALSE",36,"C.J. Brown","Peter Nowak","",0,0
"8/3/97","New York Red Bulls","Tampa Bay Mutiny","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",9,"Roy Lassiter","Gilmar","",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",10,"Roman Kosecki","Zach Thornton","Peter Nowak",0,0
"7/29/98","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",70,"Jeff Baicher","Shawn Medved","Eddie Lewis",0,0
"3/21/98","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",76,"Roman Kosecki","Ante Razov","",0,0
"7/9/98","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",8,"Stern John","","",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",80,"Paul Bravo","Waldir Síçenz","Adriíçn Paz",0,0
"7/18/98","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",78,"Jaime Moreno","","",0,0
"6/14/98","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",60,"Ritchie Kotschau","Chris Armas","Jesse Marsch",0,0
"7/25/98","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",25,"Miles Joseph","","",0,0
"5/30/98","LA Galaxy","Chicago Fire","LA Galaxy","LA Galaxy","FALSE",3,"Mauricio Cienfuegos","","",0,0
"7/18/98","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",69,"Roy Lassiter","Brian Kamler","Ben Olsen",0,0
"6/14/98","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",85,"Jerzy Podbrozny","Ante Razov","Peter Nowak",0,0
"5/30/98","LA Galaxy","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",49,"Ante Razov","Lubo?ç Kubí_k","Frank Klopas",0,0
"8/29/98","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",3,"Mark Chung","Uche Okafor","Paul Rideout",0,0
"7/18/98","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",90,"Roy Lassiter","Marco Etcheverry","",0,0
"9/27/98","LA Galaxy","Chicago Fire","LA Galaxy","LA Galaxy","FALSE",87,"Cobi Jones","Carlos Hermosillo","Ezra Hendrickson",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",48,"Waldir","Chris Henderson","Paul Bravo",0,0
"7/18/98","D.C. United","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",38,"Jesse Marsch","Frank Klopas","Francis Okaroh",0,0
"7/25/98","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",45,"Brian Kelly","Miles Joseph","",0,0
"7/25/98","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",6,"Eduardo Hurtado","Giovanni Savarese","Marcelo Vega",0,0
"6/14/98","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",25,"Jerzy Podbrozny","Jesse Marsch","",0,0
"7/9/98","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",68,"Brian McBride","Andrew Gregor","",0,0
"4/8/98","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",76,"Pete Marino","Preki","Refik Sabanadzovic",0,0
"8/29/98","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",14,"Mo Johnston","Paul Rideout","Digital Takawira",0,0
"8/29/98","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",90,"Jerzy Podbrozny","Lubo?ç Kubí_k","Josh Wolff",0,0
"8/21/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",64,"Lubos Kubik","","",0,0
"6/14/98","New England Revolution","Chicago Fire","New England Revolution","New England Revolution","FALSE",39,"Raul Diaz Arce","","",0,0
"8/21/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",67,"Chris Armas","Diego Gutií©rrez","Roman Kosecki",0,0
"7/9/98","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",40,"Rob Smith","Ansil Elcock","Jason Farrell",0,0
"7/25/98","New York Red Bulls","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",20,"Lubos Kubik","","",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",87,"Jesse Marsch","Lubo?ç Kubí_k","",0,0
"7/18/98","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",53,"Roy Lassiter","","",0,0
"9/10/98","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",60,"Josh Wolff","Ante Razov","Chris Armas",0,0
